Frame,ImageName,Class
1,b (4).jpg,beetle
1,f (1).jpg,ant
1,m (2).jpg,fly
1,m (3).jpg,fly
2,v (3).jpg,wasp
2,b (2).jpg,beetle
2,f (3).jpg,ant
2,m (2).jpg,fly
2,v (4).jpg,wasp
2,b (1).jpg,beetle
2,f (4).jpg,ant
2,m (2).jpg,fly
2,m (2).jpg,fly
3,v (3).jpg,wasp
3,b (5).jpg,beetle
3,f (5).jpg,ant
3,m (2).jpg,fly
3,v (4).jpg,wasp
3,b (5).jpg,beetle
3,f (3).jpg,ant
3,m (3).jpg,fly
3,m (2).jpg,fly
4,v (4).jpg,wasp
4,b (2).jpg,beetle
4,f (2).jpg,ant
4,m (3).jpg,fly
4,v (4).jpg,wasp
4,b (4).jpg,beetle
4,f (5).jpg,ant
4,m (3).jpg,fly
4,m (2).jpg,fly
5,v (3).jpg,wasp
5,b (1).jpg,beetle
5,f (3).jpg,ant
5,m (3).jpg,fly
5,v (4).jpg,wasp
5,b (5).jpg,beetle
5,f (2).jpg,ant
5,m (2).jpg,fly
5,m (2).jpg,fly
6,v (3).jpg,wasp
6,b (1).jpg,beetle
6,f (2).jpg,ant
6,m (3).jpg,fly
6,v (3).jpg,wasp
6,b (5).jpg,beetle
6,f (4).jpg,ant
6,m (2).jpg,fly
6,m (3).jpg,fly
7,v (4).jpg,wasp
7,b (1).jpg,beetle
7,f (3).jpg,ant
7,m (2).jpg,fly
7,v (4).jpg,wasp
7,b (4).jpg,beetle
7,f (2).jpg,ant
7,m (3).jpg,fly
7,m (3).jpg,fly
8,v (4).jpg,wasp
8,b (1).jpg,beetle
8,f (3).jpg,ant
8,m (3).jpg,fly
8,v (4).jpg,wasp
8,b (4).jpg,beetle
8,f (2).jpg,ant
8,m (3).jpg,fly
8,m (3).jpg,fly
9,v (3).jpg,wasp
9,b (4).jpg,beetle
9,f (2).jpg,ant
9,m (3).jpg,fly
9,v (4).jpg,wasp
9,b (4).jpg,beetle
9,f (1).jpg,ant
9,m (3).jpg,fly
9,m (3).jpg,fly
10,v (4).jpg,wasp
10,b (2).jpg,beetle
10,f (1).jpg,ant
10,m (3).jpg,fly
10,v (4).jpg,wasp
10,b (5).jpg,beetle
10,f (5).jpg,ant
10,m (2).jpg,fly
10,m (2).jpg,fly
11,v (4).jpg,wasp
11,b (5).jpg,beetle
11,f (2).jpg,ant
11,m (2).jpg,fly
11,v (4).jpg,wasp
11,b (2).jpg,beetle
11,f (4).jpg,ant
11,m (3).jpg,fly
11,b (5).jpg,beetle
12,f (3).jpg,ant
12,m (2).jpg,fly
12,v (3).jpg,wasp
12,b (2).jpg,beetle
12,f (1).jpg,ant
12,m (3).jpg,fly
12,v (3).jpg,wasp
12,f (2).jpg,ant
13,m (2).jpg,fly
13,v (3).jpg,wasp
13,b (5).jpg,beetle
13,f (4).jpg,ant
13,m (2).jpg,fly
13,v (4).jpg,wasp
13,b (5).jpg,beetle
13,f (4).jpg,ant
13,f (1).jpg,ant
14,m (3).jpg,fly
14,v (4).jpg,wasp
14,b (2).jpg,beetle
14,f (1).jpg,ant
14,m (2).jpg,fly
14,v (4).jpg,wasp
14,b (1).jpg,beetle
14,f (5).jpg,ant
14,f (4).jpg,ant
15,m (2).jpg,fly
15,v (4).jpg,wasp
15,b (5).jpg,beetle
15,f (2).jpg,ant
15,m (2).jpg,fly
15,v (3).jpg,wasp
15,b (2).jpg,beetle
15,f (2).jpg,ant
15,f (3).jpg,ant
16,m (2).jpg,fly
16,v (3).jpg,wasp
16,b (2).jpg,beetle
16,f (5).jpg,ant
16,m (2).jpg,fly
16,v (4).jpg,wasp
16,b (5).jpg,beetle
16,f (1).jpg,ant
16,f (1).jpg,ant
17,m (2).jpg,fly
17,v (3).jpg,wasp
17,b (2).jpg,beetle
17,f (2).jpg,ant
17,m (2).jpg,fly
17,v (3).jpg,wasp
17,b (5).jpg,beetle
17,f (3).jpg,ant
17,f (5).jpg,ant
18,m (2).jpg,fly
18,v (4).jpg,wasp
18,b (5).jpg,beetle
18,f (1).jpg,ant
18,m (2).jpg,fly
18,v (4).jpg,wasp
18,b (5).jpg,beetle
18,f (5).jpg,ant
18,f (1).jpg,ant
19,m (2).jpg,fly
19,v (3).jpg,wasp
19,b (2).jpg,beetle
19,f (1).jpg,ant
19,m (2).jpg,fly
19,v (4).jpg,wasp
19,b (4).jpg,beetle
19,f (1).jpg,ant
19,b (4).jpg,beetle
20,f (5).jpg,ant
20,m (2).jpg,fly
20,v (3).jpg,wasp
20,b (2).jpg,beetle
20,f (3).jpg,ant
20,m (3).jpg,fly
20,v (3).jpg,wasp
20,f (3).jpg,ant
21,m (2).jpg,fly
21,v (4).jpg,wasp
21,b (4).jpg,beetle
21,f (1).jpg,ant
21,m (2).jpg,fly
21,v (3).jpg,wasp
21,b (5).jpg,beetle
21,f (5).jpg,ant
21,b (2).jpg,beetle
22,f (5).jpg,ant
22,m (3).jpg,fly
22,v (3).jpg,wasp
22,b (2).jpg,beetle
22,f (2).jpg,ant
22,m (3).jpg,fly
22,v (4).jpg,wasp
22,b (1).jpg,beetle
22,b (2).jpg,beetle
23,f (4).jpg,ant
23,m (3).jpg,fly
23,v (4).jpg,wasp
23,b (4).jpg,beetle
23,f (4).jpg,ant
23,m (3).jpg,fly
23,v (3).jpg,wasp
23,b (4).jpg,beetle
23,b (5).jpg,beetle
24,f (2).jpg,ant
24,m (2).jpg,fly
24,v (4).jpg,wasp
24,b (1).jpg,beetle
24,f (3).jpg,ant
24,m (2).jpg,fly
24,v (3).jpg,wasp
24,b (2).jpg,beetle
24,b (4).jpg,beetle
25,f (3).jpg,ant
25,m (3).jpg,fly
25,v (3).jpg,wasp
25,b (2).jpg,beetle
25,f (4).jpg,ant
25,m (3).jpg,fly
25,v (3).jpg,wasp
25,b (2).jpg,beetle
26,f (4).jpg,ant
26,m (2).jpg,fly
26,v (4).jpg,wasp
26,b (5).jpg,beetle
26,f (5).jpg,ant
26,m (2).jpg,fly
26,b (5).jpg,beetle
27,f (5).jpg,ant
27,m (2).jpg,fly
27,v (3).jpg,wasp
27,b (5).jpg,beetle
27,f (5).jpg,ant
27,m (2).jpg,fly
27,v (4).jpg,wasp
27,b (4).jpg,beetle
27,b (4).jpg,beetle
28,f (1).jpg,ant
28,m (3).jpg,fly
28,v (3).jpg,wasp
28,b (5).jpg,beetle
28,f (1).jpg,ant
28,m (3).jpg,fly
28,v (4).jpg,wasp
28,b (5).jpg,beetle
28,b (1).jpg,beetle
29,f (4).jpg,ant
29,m (3).jpg,fly
29,v (3).jpg,wasp
29,b (4).jpg,beetle
29,f (1).jpg,ant
29,m (2).jpg,fly
29,v (4).jpg,wasp
29,b (5).jpg,beetle
29,b (2).jpg,beetle
30,f (3).jpg,ant
30,m (3).jpg,fly
30,v (3).jpg,wasp
30,b (1).jpg,beetle
30,f (2).jpg,ant
30,m (3).jpg,fly
30,v (4).jpg,wasp
30,b (5).jpg,beetle
30,b (2).jpg,beetle
31,f (5).jpg,ant
31,m (2).jpg,fly
31,v (4).jpg,wasp
31,b (2).jpg,beetle
31,f (5).jpg,ant
31,m (3).jpg,fly
31,v (4).jpg,wasp
31,b (2).jpg,beetle
31,b (2).jpg,beetle
32,f (5).jpg,ant
32,m (3).jpg,fly
32,v (4).jpg,wasp
32,b (1).jpg,beetle
32,f (5).jpg,ant
32,m (3).jpg,fly
32,v (4).jpg,wasp
32,b (2).jpg,beetle
32,b (1).jpg,beetle
33,f (1).jpg,ant
33,m (2).jpg,fly
33,v (4).jpg,wasp
33,b (4).jpg,beetle
33,f (2).jpg,ant
33,m (3).jpg,fly
33,v (3).jpg,wasp
33,b (4).jpg,beetle
33,b (5).jpg,beetle
34,f (5).jpg,ant
34,m (2).jpg,fly
34,v (3).jpg,wasp
34,b (4).jpg,beetle
34,f (2).jpg,ant
34,m (2).jpg,fly
34,v (3).jpg,wasp
34,b (2).jpg,beetle
34,b (2).jpg,beetle
35,f (1).jpg,ant
35,m (3).jpg,fly
35,v (4).jpg,wasp
35,b (4).jpg,beetle
35,f (1).jpg,ant
35,m (2).jpg,fly
35,v (4).jpg,wasp
35,b (4).jpg,beetle
35,b (2).jpg,beetle
36,f (1).jpg,ant
36,m (2).jpg,fly
36,v (3).jpg,wasp
36,b (2).jpg,beetle
36,f (3).jpg,ant
36,m (3).jpg,fly
36,v (3).jpg,wasp
36,b (2).jpg,beetle
36,b (2).jpg,beetle
37,f (2).jpg,ant
37,m (2).jpg,fly
37,v (4).jpg,wasp
37,b (5).jpg,beetle
37,f (4).jpg,ant
37,m (3).jpg,fly
37,v (3).jpg,wasp
37,b (1).jpg,beetle
37,b (2).jpg,beetle
38,f (5).jpg,ant
38,m (2).jpg,fly
38,v (4).jpg,wasp
38,b (1).jpg,beetle
38,f (5).jpg,ant
38,m (3).jpg,fly
38,v (3).jpg,wasp
38,b (1).jpg,beetle
38,b (2).jpg,beetle
39,f (4).jpg,ant
39,m (2).jpg,fly
39,v (4).jpg,wasp
39,b (1).jpg,beetle
39,f (2).jpg,ant
39,m (3).jpg,fly
39,v (3).jpg,wasp
39,b (4).jpg,beetle
39,b (5).jpg,beetle
40,f (2).jpg,ant
40,m (3).jpg,fly
40,v (4).jpg,wasp
40,b (1).jpg,beetle
40,f (4).jpg,ant
40,m (3).jpg,fly
40,v (4).jpg,wasp
40,b (2).jpg,beetle
41,f (4).jpg,ant
41,m (3).jpg,fly
41,v (3).jpg,wasp
41,b (4).jpg,beetle
41,f (2).jpg,ant
41,m (2).jpg,fly
41,v (4).jpg,wasp
41,b (5).jpg,beetle
42,f (5).jpg,ant
42,m (2).jpg,fly
42,v (3).jpg,wasp
42,b (2).jpg,beetle
42,f (1).jpg,ant
42,m (2).jpg,fly
42,v (3).jpg,wasp
42,b (4).jpg,beetle
42,b (4).jpg,beetle
43,f (1).jpg,ant
43,m (2).jpg,fly
43,v (4).jpg,wasp
43,b (1).jpg,beetle
43,f (2).jpg,ant
43,m (3).jpg,fly
43,v (3).jpg,wasp
43,b (5).jpg,beetle
43,b (5).jpg,beetle
44,f (2).jpg,ant
44,m (2).jpg,fly
44,v (4).jpg,wasp
44,b (4).jpg,beetle
44,f (4).jpg,ant
44,m (3).jpg,fly
44,v (3).jpg,wasp
44,b (5).jpg,beetle
44,b (5).jpg,beetle
45,f (5).jpg,ant
45,m (2).jpg,fly
45,v (3).jpg,wasp
45,b (5).jpg,beetle
45,f (5).jpg,ant
45,m (3).jpg,fly
45,v (3).jpg,wasp
45,b (5).jpg,beetle
45,b (5).jpg,beetle
46,f (2).jpg,ant
46,m (3).jpg,fly
46,v (4).jpg,wasp
46,b (1).jpg,beetle
46,f (4).jpg,ant
46,m (3).jpg,fly
46,v (4).jpg,wasp
46,b (1).jpg,beetle
46,b (5).jpg,beetle
47,f (1).jpg,ant
47,m (2).jpg,fly
47,v (4).jpg,wasp
47,b (5).jpg,beetle
47,f (5).jpg,ant
47,m (2).jpg,fly
47,v (3).jpg,wasp
47,b (1).jpg,beetle
47,b (1).jpg,beetle
48,f (4).jpg,ant
48,m (2).jpg,fly
48,v (3).jpg,wasp
48,b (2).jpg,beetle
48,f (5).jpg,ant
48,m (2).jpg,fly
48,v (4).jpg,wasp
48,b (5).jpg,beetle
48,b (1).jpg,beetle
49,f (1).jpg,ant
49,m (3).jpg,fly
49,v (4).jpg,wasp
49,b (5).jpg,beetle
49,f (3).jpg,ant
49,m (2).jpg,fly
49,v (4).jpg,wasp
49,b (5).jpg,beetle
